Function,VCBR,Enabler Types,LOCATION,Suggested Enabler Roles
ES,CLX_PLANT MAINTENANCE EXECUTION,Plant_Update,"Wheeling, IL - USA","ES : PLT - U0G1/U01W:HVR_WHEELING_MFG_PLANT:WHEELING,IL,US"
ES,CLX_PLANT MAINTENANCE EXECUTION,Plant_Update,"Wheeling, IL - USA",ES : PLT - WHEELING Maintenance Plant
ES,CLX_PLANT MAINTENANCE EXECUTION,Plant_Update,"Wheeling, IL - USA",ES : PLT - Wheeling PO Changes
ES,CLX_PLANT MAINTENANCE EXECUTION,Plant_Update,"Wheeling, IL - USA","ES : PLT - U204:PREPAID_INVENTORY_HVR:WHEELING,IL,US"
ES,CLX_PLANT MAINTENANCE EXECUTION,Plant_Update,"Wheeling, IL - USA",ES : PLT - WHEELING PDC Warehouse
ES,CLX_PLANT MAINTENANCE EXECUTION,Plant_Update,"Wheeling, IL - USA",ES : PLT - WHEELING Maintenance Warehouse
ES,CLX_PLANT MAINTENANCE EXECUTION,Plant_Update,"Fairfield, CA - USA","ES : PLT - U0TG:AMCOR_PET_PRODUCTS:FAIRFIELD,CA,US:U0G2"
ES,CLX_PLANT MAINTENANCE EXECUTION,Plant_Update,"Fairfield, CA - USA","ES : PLT - U0HV/U0H8:CLOROX_HUNTINGTON_MFG_PLANT:FAIRFIELD,CA,US"
ES,CLX_PLANT MAINTENANCE EXECUTION,Plant_Update,"Fairfield, CA - USA",ES : PLT - Fairfield PO Changes
ES,CLX_PLANT PRODUCTION EXECUTION,Plant_Update,"Reno, NV - USA","ES : PLT - U0G2/U015:HVR_RENO_MFG_PLANT:RENO,NV,US"
ES,CLX_PLANT PRODUCTION EXECUTION,Plant_Update,"Reno, NV - USA",ES : PLT - Reno PO Changes
ES,CLX_PLANT PRODUCTION EXECUTION,Plant_Update,"Reno, NV - USA",ES : PLT - RENO PDC Warehouse
ES,CLX_PLANT PRODUCTION EXECUTION TEAM LEAD,Plant_Update,"Amherst, VA - USA","ES : PLT - U0GA/U0AG:GLAD_AMHERST_MFG_PLANT:AMHERST,VA,US"
ES,CLX_PLANT PRODUCTION EXECUTION TEAM LEAD,Plant_Update,"Amherst, VA - USA",ES : PLT - Amherst VMI MRP Controller VM1
ES,CLX_PLANT PRODUCTION EXECUTION TEAM LEAD,Plant_Update,"Amherst, VA - USA",ES : PLT - Amherst VMI MRP Controller VM4
ES,CLX_PLANT PRODUCTION EXECUTION TEAM LEAD,Plant_Update,"Amherst, VA - USA",ES : PLT - Amherst Maintenance Plant
ES,CLX_PLANT PRODUCTION EXECUTION TEAM LEAD,Plant_Update,"Amherst, VA - USA",ES : PLT - Amherst PO Changes
ES,CLX_PLANT PRODUCTION EXECUTION TEAM LEAD,Plant_Update,"Amherst, VA - USA","ES : PLT - U0RQ:AMHERST_DPS/PPC_POST_WHSE:SALEM,VA,US"
ES,CLX_PLANT PRODUCTION EXECUTION TEAM LEAD,Plant_Update,"Amherst, VA - USA","ES : PLT - U206:PREPAID_INVENTORY_GLAD:AMHERST,VA,US"
ES,CLX_PLANT PRODUCTION EXECUTION TEAM LEAD,Plant_Update,"Amherst, VA - USA",ES : PLT - AMHERST_DPS_PPC POST Warehouse
ES,CLX_PLANT PRODUCTION EXECUTION TEAM LEAD,Plant_Update,"Amherst, VA - USA",ES : PLT - Amherst PDC Warehouse
ES,CLX_PLANT PRODUCTION EXECUTION TEAM LEAD,Plant_Update,"Amherst, VA - USA",ES : PLT - Amherst Maintenance Warehouse
ES,CLX_PLANT PRODUCTION EXECUTION TEAM LEAD,Plant_Update,"Amherst, VA - USA",ES : PLT - Amherst Plant
ES,CLX_PLANT PRODUCTION EXECUTION TEAM LEAD,Plant_Update,"Amherst, VA - USA",ES : PLT - AMHERST_DPS POST Warehouse
Planning,CLX_DEPLOYER,Plant_Update,"Rogers, AR - USA",ES : PLT - ROGERS VMI MRP Controller VM1
Planning,CLX_DEPLOYER,Plant_Update,"Rogers, AR - USA",ES : PLT - ROGERS VMI MRP Controller VM3
Planning,CLX_DEPLOYER,Plant_Update,"Rogers, AR - USA",ES : PLT - ROGERS VMI MRP Controller VM5
Planning,CLX_DEPLOYER,Plant_Update,"Rogers, AR - USA","ES : PLT - U0GC/U0CG:GLAD_ROGERS_MFG_PLANT:ROGERS,AR,US"
Planning,CLX_DEPLOYER,Plant_Update,"Rogers, AR - USA",ES : PLT - ROGERS Maintenance Plant
Planning,CLX_DEPLOYER,Plant_Update,"Rogers, AR - USA",ES : PLT - Rogers PO Changes
Planning,CLX_DEPLOYER,Plant_Update,"Rogers, AR - USA","ES : PLT - U0RF:ROGERS_DPS_POST_WHSE:ROGERS,AR,US"
Planning,CLX_DEPLOYER,Plant_Update,"Rogers, AR - USA","ES : PLT - U0RN:ROGERS_DPS/PPC_POST_WHSE:ROGERS,AR,US"
Planning,CLX_DEPLOYER,Plant_Update,"Rogers, AR - USA",ES : PLT - ROGERS_DPS_PPC POST Warehouse
Planning,CLX_DEPLOYER,Plant_Update,"Rogers, AR - USA",ES : PLT - ROGERS PDC Warehouse
Planning,CLX_DEPLOYER,Plant_Update,"Rogers, AR - USA",ES : PLT - ROGERS_DPS POST Warehouse
Planning,CLX_DEPLOYER,Plant_Update,"Rogers, AR - USA",ES : PLT - ROGERS NORTH KFD Warehouse
Planning,CLX_DEPLOYER,Plant_Update,"Rogers, AR - USA",ES : PLT - ROGERS Maintenance Plant
