Enabler Type,EnablerType,Enabler Roles,Active (Y/N),Short Text,Enabler Description,Character count,
PL_D,Plant_Display,ES : PLT - All Plants (Display),,All Plants (Display),Provides the user the ability to view all plants.,49,
PL_U,Plant_Update,ES : PLT - All Bottle Vendors,, All Bottle Vendors,,0,
PL_U,Plant_Update,ES : PLT - All Copacker Plants,, All Copacker Plants,,0,
PL_U,Plant_Update,ES : PLT - All Inactive Plants,, All Inactive Plants,,0,
PL_U,Plant_Update,ES : PLT - All Plants - Maintain,, All Plants  Maintain,Permits transacting in any plant ,33,
PL_U,Plant_Update,ES : PLT - All Virtual Plants,, All Virtual Plants,,0,
PL_U,Plant_Update,"ES : PLT - ALPLA, MCDONOUGH,GA - BSUP",," ALPLA, MCDONOUGH,GA ",bottle supplier for ATL Mfg ,28,
PL_U,Plant_Update,"ES : PLT - AMCOR PET PRODUCTS, CA - BSUP",," AMCOR PET PRODUCTS, CA ",,0,
PL_U,Plant_Update,ES : PLT - Amherst Plant,, Amherst Plant,,0,
PL_U,Plant_Update,ES : PLT - Argentina Plant,, Argentina Plant,,0,
PL_U,Plant_Update,ES : PLT - Atlanta Plant,, Atlanta Plant,,0,
PL_U,Plant_Update,ES : PLT - Belle Plant,, Belle Plant,,0,
PL_U,Plant_Update,ES : PLT - Brampton Plant,, Brampton Plant,,0,
PL_U,Plant_Update,ES : PLT - Brita Plant,, Brita Plant,,0,
PL_U,Plant_Update,"ES : PLT - CONSOLIDATED CONT., MD - BSUP",," CONSOLIDATED CONT., MD ",,0,
PL_U,Plant_Update,ES : PLT - CONSTAR PLASTICS COLRVILL,, CONSTAR PLASTICS COLRVILL,,0,
PL_U,Plant_Update,ES : PLT - HAYCO INDUSTRIAL ESTATE (CHINA)-CPK,, HAYCO INDUSTRIAL ESTATE (CHINA),,0,
PL_U,Plant_Update,"ES : PLT - U0L7/U0LD:1888_MILLS_WAREHOUSE:THOMASTON,GA,US",,1888_MILLS_WAREHOUSE,,0,
PL_U,Plant_Update,"ES : PLT - U0BP/U0B4:3M:ELYRIA,OH,US",,3M,,0,
PL_U,Plant_Update,"ES : PLT - U0LS/U01L:A&M_SPRING_HILL_MFG_PLANT:SPRING_HILL,KS,US",,A&M_SPRING_HILL_MFG_PLANT,The CLX A&M PET products Spring Hill Mfg facility,49,
PL_U,Plant_Update,ES : PLT - Aberdeen Plants,,Aberdeen Plants Maintan,,0,
PL_U,Plant_Update,"ES : PLT - U06L/U067:ACCESS_BUSINESS_GROUP:ADA,MI,US",,ACCESS_BUSINESS_GROUP,,0,
PL_U,Plant_Update,"ES : PLT - U0FR/U03R:ACCURATE_CONVERTING_INC:MIDDLETOWN,OH,US",,ACCURATE_CONVERTING_INC,,0,
